step  7360 | loss 5.6638 | lm 5.6638 | ppl 288.2 | gnorm 1.038 | lr 7.64e-05 | 134117 tok/s | Φ 0.866 | λ₁ 0.352 | ign 0.39 | mesoLG 0.51 | troph 4/4 μ2.01 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.432 θ=0.277 γ=0.291]
step  7380 | loss 5.5151 | lm 5.5151 | ppl 248.4 | gnorm 1.028 | lr 7.58e-05 | 133233 tok/s | Φ 0.865 | λ₁ 0.352 | ign 0.43 | mesoLG 0.52 | troph 4/4 μ2.01 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.395 θ=0.264 γ=0.341]
step  7400 | loss 5.7291 | lm 5.7291 | ppl 307.7 | gnorm 0.755 | lr 7.51e-05 | 134199 tok/s | Φ 0.823 | λ₁ 0.352 | ign 0.42 | mesoLG 0.49 | troph 4/4 μ2.02 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.401 θ=0.227 γ=0.372]
step  7420 | loss 5.6215 | lm 5.6215 | ppl 276.3 | gnorm 0.815 | lr 7.45e-05 | 133734 tok/s | Φ 0.877 | λ₁ 0.352 | ign 0.43 | mesoLG 0.50 | troph 4/4 μ2.02 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.371 θ=0.218 γ=0.411]
step  7440 | loss 5.7272 | lm 5.7272 | ppl 307.1 | gnorm 0.917 | lr 7.38e-05 | 133259 tok/s | Φ 0.872 | λ₁ 0.352 | ign 0.44 | mesoLG 0.50 | troph 4/4 μ2.02 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.371 θ=0.232 γ=0.397]
step  7460 | loss 5.3977 | lm 5.3977 | ppl 220.9 | gnorm 1.166 | lr 7.32e-05 | 132833 tok/s | Φ 0.861 | λ₁ 0.352 | ign 0.42 | mesoLG 0.49 | troph 4/4 μ2.02 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.407 θ=0.226 γ=0.367]
step  7480 | loss 5.6152 | lm 5.6152 | ppl 274.6 | gnorm 0.903 | lr 7.25e-05 | 133535 tok/s | Φ 0.859 | λ₁ 0.352 | ign 0.44 | mesoLG 0.50 | troph 4/4 μ2.03 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.343 θ=0.233 γ=0.424]
step  7500 | loss 5.6842 | lm 5.6842 | ppl 294.2 | gnorm 0.930 | lr 7.19e-05 | 133958 tok/s | Φ 0.830 | λ₁ 0.352 | ign 0.40 | mesoLG 0.48 | troph 4/4 μ1.99 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.401 θ=0.236 γ=0.363]
step  7520 | loss 5.7165 | lm 5.7165 | ppl 303.8 | gnorm 1.250 | lr 7.13e-05 | 133942 tok/s | Φ 0.889 | λ₁ 0.352 | ign 0.41 | mesoLG 0.50 | troph 4/4 μ1.98 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.379 θ=0.256 γ=0.365]
step  7540 | loss 5.5068 | lm 5.5068 | ppl 246.4 | gnorm 0.962 | lr 7.06e-05 | 133487 tok/s | Φ 0.846 | λ₁ 0.352 | ign 0.41 | mesoLG 0.47 | troph 4/4 μ1.99 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.440 θ=0.288 γ=0.272]
